Internal ID;Name;Display Name;Purchase Description;Costing Method;WIP Cost Variance Account;Type;BIO_CAM_LINEA
12047;LIQ0000196;OMEGAPEL x 250 mL;OMEGAPEL x 250 mL;Average;6686;Assembly;LIQUIDOS
12048;LIQ0000197;OMEGAPEL x 100 mL;OMEGAPEL x 100 mL;Average;6686;Assembly;LIQUIDOS
12049;LIQ0000202;HEMATOLIC x 60 ML;HEMATOLIC x 60 ML;Average;6686;Assembly;LIQUIDOS
12052;LIQ0000207;HEMATOLIC x 30 mL;HEMATOLIC x 30 mL;Average;6686;Assembly;LIQUIDOS
12054;POL0000005;COMPLEJO B ELECTROLITOS x CJA50;COMPLEJO B ELECTROLITOS x CJA50;Average;6686;Assembly;POLVOS
12055;POL0000011;ULTRAVIT NF CON MINERALES + METIONINA x CJA50 SOBRES X 10G;ULTRAVIT NF CON MINERALES + METIONINA x CJA50 SOBRES X 10G;Average;6686;Assembly;POLVOS
12057;POL0000024;BIOMICIN SUPER SOBRE x 1 KG;BIOMICIN SUPER SOBRE x 1 KG;Average;6686;Assembly;POLVOS
12058;POL0000025;ULTRAVIT NF CON MINERALES + METIONINA SOBRE x 100 G;ULTRAVIT NF CON MINERALES + METIONINA SOBRE x 100 G;Average;6686;Assembly;POLVOS
12059;POL0000026;ULTRAVIT NF CON MINERALES + METIONINA SOBRE x 1 KG;ULTRAVIT NF CON MINERALES + METIONINA SOBRE x 1 KG;Average;6686;Assembly;POLVOS
12060;POL0000027;COMPLEJO B NF SOBRE x 100 G;COMPLEJO B NF SOBRE x 100 G;Average;6686;Assembly;POLVOS
12061;POL0000028;COMPLEJO B NF SOBRE x 1 KG;COMPLEJO B NF SOBRE x 1 KG;Average;6686;Assembly;POLVOS
12062;POL0000029;COMPLEJO B ELECTROLITOS SOBRE x 100 G;COMPLEJO B ELECTROLITOS SOBRE x 100 G;Average;6686;Assembly;POLVOS
12063;POL0000030;COMPLEJO B ELECTROLITOS SOBRE x 1 KG;COMPLEJO B ELECTROLITOS SOBRE x 1 KG;Average;6686;Assembly;POLVOS
12064;POL0000031;BIOMICIN SUPER SOBRE x 200 G;BIOMICIN SUPER SOBRE x 200 G;Average;6686;Assembly;POLVOS
12077;SOL0000021;TELOPAR TABS (B) CJ X 100 TAB;TELOPAR TABS (B) CJ X 100 TAB;Average;6686;Assembly;SOLIDOS
12079;SOL0000016;ORALMEC PLUS (B) CJ X 100 TAB;ORALMEC PLUS (B) CJ X 100 TAB;Average;6686;Assembly;SOLIDOS
12501;BK00000159;LIVRE;LIVRE;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12507;BK00000007;BIO C;BIO C;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12515;BK00000016;BIOMICIN SUPER;BIOMICIN SUPER;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12525;BK00000026;BIOVALGINA;BIOVALGINA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12528;BK00000029;COMPLEJO B ELECTROLITOS;COMPLEJO B ELECTROLITOS;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12529;BK00000030;COMPLEX B;COMPLEX B;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12530;BK00000031;DEXALAN;DEXALAN;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12531;BK00000032;DEXTROVITAM;DEXTROVITAM;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12543;BK00000044;HEPATIN;HEPATIN;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12557;BK00000060;TRANQUILISS GOTAS;TRANQUILISS GOTAS;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12560;BK00000063;ULTRAVIT NF CON MINERALES + METIONINA;ULTRAVIT NF CON MINERALES + METIONINA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12569;BK00000073;COMPLEJO B NF;COMPLEJO B NF;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12584;BK00000089;OTOLOG;OTOLOG;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12607;BK00000112;QUETAMIN;QUETAMIN;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12621;BK00000126;RIVOLTA 12%;RIVOLTA 12%;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12622;BK00000127;RIVOLTA 6%;RIVOLTA 6%;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12626;BK00000131;POTENZA;POTENZA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12630;BK00000135;HEPATIN PASTA;HEPATIN PASTA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12631;BK00000136;POTENZA CATS;POTENZA CATS;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12632;BK00000137;TELOPAR GEL;TELOPAR GEL;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12633;BK00000138;TELOPAR TABS;TELOPAR TABS;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12653;BK00000158;OMEGAPEL;OMEGAPEL;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12656;BK00000162;ORALMEC PLUS;ORALMEC PLUS;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12657;BK00000163;HEMATOLIC;HEMATOLIC;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12658;BK00000164;VANTAGGIO;VANTAGGIO;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12661;BK00000167;TILOZONA;TILOZONA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12771;BK00000171;MELOPET;MELOPET;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12772;BK00000172;ITRAPET;ITRAPET;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12774;BK00000173;DOXIPET;DOXIPET;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
12782;SOL0000024;GERIAX TABLETA FRASCO X 30 TAB;GERIAX TABLETA FRASCO X 30 TAB;Average;6686;Assembly;SOLIDOS
12786;SOL0000028;MARVO 20 CJ X 30 TAB;MARVO 20 CJ X 30 TAB;Average;6686;Assembly;SOLIDOS
12790;SOL0000025;MELOPET CJ X 30 TAB;MELOPET CJ X 30 TAB;Average;6686;Assembly;SOLIDOS
12794;SOL0000026;ITRAPET CJA X 30 TAB;ITRAPET CJA X 30 TAB;Average;6686;Assembly;SOLIDOS
12929;POL0000032;BIOMICIN SUPER x CJA 50 SOBRES (NS);BIOMICIN SUPER x CJA 50 SOBRES (NS);Average;6686;Assembly;POLVOS
12931;SOL0000027;DOXIPET CJA X 30 TAB;DOXIPET CJA X 30 TAB;Average;6686;Assembly;SOLIDOS
12936;SEM0000206;TELOPAR GEL FCO x 60 mL;TELOPAR GEL FCO x 60 mL;Average;6686;Assembly;SEMISOLIDOS
13922;BK00000174;MARVO 20;MARVO 20;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
14236;SOT0000077;VANTAGGIO x 0.50 mL;VANTAGGIO x 0.50 mL;Average;6686;Assembly;SOLUCIONES TOPICAS
14319;SOT0000078;VANTAGGIO x 1.25 mL;VANTAGGIO x 1.25 mL;Average;6686;Assembly;SOLUCIONES TOPICAS
14322;SOT0000079;VANTAGGIO x 2.50 mL;VANTAGGIO x 2.50 mL;Average;6686;Assembly;SOLUCIONES TOPICAS
14325;SOT0000080;VANTAGGIO X 4.00 mL;VANTAGGIO X 4.00 mL;Average;6686;Assembly;SOLUCIONES TOPICAS
14351;BK00000170;GERIAX TABLETA;GERIAX TABLETA;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
14410;SOT0000085;RIVOLTA 12% x 0.25 ML (1 PIPETA);RIVOLTA 12% x 0.25 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
14411;SOT0000086;RIVOLTA 12% x 0.5 ML (1 PIPETA);RIVOLTA 12% x 0.5 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
14412;SOT0000087;RIVOLTA 12% x 1 ML (1 PIPETA);RIVOLTA 12% x 1 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
14413;SOT0000088;RIVOLTA 12% x 2 ML (1 PIPETA);RIVOLTA 12% x 2 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
14414;SOT0000089;RIVOLTA 6% x 0.25 ML (1 PIPETA);RIVOLTA 6% x 0.25 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
14415;SOT0000090;RIVOLTA 6% x 0.75 ML (1 PIPETA);RIVOLTA 6% x 0.75 ML (1 PIPETA);Average;6686;Assembly;SOLUCIONES TOPICAS
15281;SOL0000031;DOXIPET 200 (CJA x 30 TAB);DOXIPET 200 (CJA x 30 TAB);Average;6686;Assembly;SOLIDOS
15290;SOL0000034;MELOPET 4 (CJA x 30 TAB);MELOPET 4 (CJA x 30 TAB);Average;6686;Assembly;SOLIDOS
15291;BK00000183;MELOPET 4;MELOPET 4;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
15368;BK00000186;PROTEGGO;PROTEGGO;Average;6686;Assembly;BULK Y PRODUCTOS INTERMEDIOS
15441;SOL0000042;PROTEGGO M 45 mg (CJA x 1 TAB);PROTEGGO M 45 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15442;SOL0000043;PROTEGGO M 100 mg (CJA x 1 TAB);PROTEGGO M 100 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15443;SOL0000044;PROTEGGO M (200 mg) (CJA x 1 TAB);PROTEGGO M (200 mg) (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15444;SOL0000045;PROTEGGO M 400 mg (CJA x 1 TAB);PROTEGGO M 400 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15445;SOL0000046;PROTEGGO 3M 112.5 mg (CJA x 1 TAB);PROTEGGO 3M 112.5 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15446;SOL0000047;PROTEGGO 3M 250 mg (CJA x 1 TAB);PROTEGGO 3M 250 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15447;SOL0000048;PROTEGGO 3M (500 mg) (CJA x 1 TAB);PROTEGGO 3M (500 mg) (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
15448;SOL0000049;PROTEGGO 3M 1000 mg (CJA x 1 TAB);PROTEGGO 3M 1000 mg (CJA x 1 TAB);Average;6686;Assembly;SOLIDOS
17686;PIT0000036;PIT-TELOPAR GEL JERINGA X 2 ML;PIT-TELOPAR GEL JERINGA X 2 ML;Average;6686;Assembly;PRODUCTOS INTERMEDIOS TERCEROS
17687;PIT0000037;PIT-TELOPAR GEL JERINGA X 5 ML;PIT-TELOPAR GEL JERINGA X 5 ML;Average;6686;Assembly;PRODUCTOS INTERMEDIOS TERCEROS
17688;PIT0000038;PIT-TELOPAR GEL JERINGA X 10 ML;PIT-TELOPAR GEL JERINGA X 10 ML;Average;6686;Assembly;PRODUCTOS INTERMEDIOS TERCEROS
17699;PIT0000039;PIT-LIVRE X 15 G;PIT-LIVRE X 15 G;Average;6686;Assembly;PRODUCTOS INTERMEDIOS TERCEROS
17313;INY0000575;DEXTROVITAM X 500 ML (*);DEXTROVITAM X 500 ML (*);Average;6687;Assembly;INYECTABLES
